result_id,campaign_id,customer_id,interaction_date,action,revenue_generated
942f0ac4-23a5-4fc2-82f3-8fa9429a22ca,6318d6f8-94dc-42b0-b253-da3ae5897793,2c0ecfc1-2c47-4e4d-b58c-6d39861502ed,2024-10-09,click,12.44
07a07e7d-e70e-42d1-b1de-9474d45bc6a3,b3d12371-ca1d-4c3c-ad30-829686e2dd65,38854c73-6e34-4d9b-b1b6-08ab6f421527,2024-09-13,conversion,1.44
59f15caa-acbc-4134-b444-4531a7be8705,1fdea342-8d28-4eab-80a3-5629bf977118,55561b92-8d0c-440d-a267-73f09620095f,2024-09-12,impression,25.61
f232ec8f-34f4-4b32-a019-e3656b7bb4ce,0fe471cd-87c9-459e-8ec8-bc3cf2e0270b,fdadced3-b8cc-4ba0-9d39-f589afb36aee,2024-10-03,conversion,61.2
956dbc7a-1bf8-4a59-bc2c-aa6292f35d89,f3343a8e-4755-45fb-9fcb-f92f377c7442,3705ebaa-2016-4026-a583-605c516c9cad,2024-09-30,impression,11.8
2b1690bf-4170-4ee0-8036-49c4a2c7d448,9eb704d3-ffc4-472c-a802-ca685c0e1894,839f7eb3-401f-4a93-b8fa-ef4c46ac87a3,2024-10-08,impression,97.35
e3c227c7-5113-4c16-b8ff-e80b9e98dc24,8e3acb42-ceaa-4e15-b62c-617d0d0118b0,74f50d8c-5138-4036-a483-4aeb0885e490,2024-09-30,impression,62.72
e03f58a8-9f22-406b-971b-bb203b9652be,1fdea342-8d28-4eab-80a3-5629bf977118,c3c721a5-a66c-4659-a8a8-6312b70502bd,2024-10-03,conversion,9.38
7adbb510-c072-43a7-bdcc-44723b546578,c951ec19-27fa-4373-ab42-99b734f554d1,6a3ed29b-9805-496f-996d-ffdf58a32aab,2024-09-22,click,96.4
1d829b70-64f1-4603-acc1-c2a45ab14864,39d73fae-cf00-4f16-9170-29f776a63913,4f8811c9-c1f1-4f1d-860c-5dc2aad23600,2024-09-12,click,81.5
726811a9-8035-49f9-a255-c46c69f3684b,f3343a8e-4755-45fb-9fcb-f92f377c7442,9e5066b4-a994-484f-9d2e-2586e62c7fae,2024-09-16,impression,8.64
c589b4a1-69e6-4ab8-aaaa-3c1f4673aaec,60d76de0-f560-400b-929e-922aeecd5157,c1f17076-9aa1-408e-ae92-13fa84c2becc,2024-10-06,conversion,88.94
79e80312-b2db-4981-86fb-f9bad2ff4a47,c951ec19-27fa-4373-ab42-99b734f554d1,1f82fc8b-730b-4892-abe1-06ab81ddda2c,2024-09-10,click,11.71
b474d11b-d386-4452-b3f0-2b4d145c2590,3cbbae18-950b-451f-a0c5-fad53f1353ce,0e7427e9-74c8-49ef-9a93-a97f183af12d,2024-09-24,click,50.18
903c678a-5e8d-4fb5-8f76-6467ea5198fa,77bc93c9-1042-4f72-821a-1d8092f9c918,1ebdb38d-41ef-4641-a632-eaf073fc6ef3,2024-09-23,click,85.6
e2b33f6b-1fc4-43c0-a659-ab339317dc5b,3bfb43a5-0ce9-47ea-a5a9-b360dbb72cda,c9da6b3c-c191-410f-a1a6-c743e5bdba2f,2024-09-25,click,98.87
1de3cad7-407d-46b5-b1ae-b83802e21369,60d76de0-f560-400b-929e-922aeecd5157,25ba80bb-92f1-417f-810a-6cd80c1bd6a3,2024-09-16,impression,24.5
5fea1f53-6096-495e-b08c-b50f7c35587a,9eb704d3-ffc4-472c-a802-ca685c0e1894,42395c90-2435-4cda-8201-e635ef737983,2024-09-22,impression,34.72
31a3597d-6fc8-4c6c-bab3-e144fdab3e8f,4fa85347-8bca-4b17-85a8-541ee243474e,372f7cbb-325e-47fb-9f44-2836ca5b531a,2024-09-23,click,38.44
7ac0e11b-eb52-40a4-b6bd-1dffa950532e,6d6f4398-addd-451a-8254-315a120e49d8,16e6489f-f209-4293-bd2f-787b3b2d7b7e,2024-09-26,conversion,38.71
327f4209-4f1a-4a08-9cab-ff9d0aeef6db,8e3acb42-ceaa-4e15-b62c-617d0d0118b0,85cc10d8-8c73-40f4-911d-9c7ff9a7ddc7,2024-10-08,click,54.6
6a6eb5c5-3157-43ca-8c37-d69b0959f528,aa6ecc01-28ef-497f-a8eb-39d822c8be4f,300855fd-2f82-4413-b2fd-75ebdc8f709a,2024-09-30,impression,11.77
6918b961-156e-48ff-9343-92057eba3db0,4fa85347-8bca-4b17-85a8-541ee243474e,905a64ff-a20a-4590-bf45-d9d124a9657e,2024-10-03,impression,73.27
2bb3daff-71bf-4f9a-9ea3-32af44ddaa1d,8e3acb42-ceaa-4e15-b62c-617d0d0118b0,2afa2a4e-b254-42e4-84bf-7caf170e3620,2024-09-12,conversion,47.43
212b39af-c41f-4353-bcb5-4590a4a4a25d,39d73fae-cf00-4f16-9170-29f776a63913,cf597f42-2efa-4fba-a3a6-10671d543bdf,2024-09-23,click,44.7
09423cd8-377d-453d-9d0a-032bac822411,4fa85347-8bca-4b17-85a8-541ee243474e,e7b7ca31-c5ec-44f0-bd2c-e09dea38d0c9,2024-09-11,impression,15.78
a1dd203e-e971-4a80-ad5b-72ef2e97558b,8e3acb42-ceaa-4e15-b62c-617d0d0118b0,3eaf5d1c-e264-4bf9-afe3-c8c923de9eb1,2024-10-02,impression,55.8
5a0d1ff2-46c4-4412-aae3-00a8f35c205a,2fac66a8-1bc0-4aed-af2e-96d29a01fe02,5d20a19e-08e1-4db2-844c-0d861cec7a04,2024-09-24,conversion,29.81
27b284f5-8501-4fd9-a7e6-b78516c330d7,39d73fae-cf00-4f16-9170-29f776a63913,ab61937b-eeba-4ba0-bdb5-344c9339bb77,2024-09-13,impression,71.87
a722bab4-01e5-4b3f-ba43-e06d1756cbc3,1fdea342-8d28-4eab-80a3-5629bf977118,79cfc241-f182-43c6-8299-133a868fe2e9,2024-09-25,conversion,30.8
ec6af3d1-0995-42c4-9847-2c507263de7e,b3d12371-ca1d-4c3c-ad30-829686e2dd65,79de1c52-dafa-4005-8dd5-4761cf128f18,2024-09-16,impression,52.0
3f431a27-28bf-485e-b340-59ea7b5e1c11,3cbbae18-950b-451f-a0c5-fad53f1353ce,25df2549-ecd3-4336-8999-ca1f1aaa1aa4,2024-09-30,click,92.43
13d13224-1a5f-4220-9a10-1bcc7e95a625,b3d12371-ca1d-4c3c-ad30-829686e2dd65,a0f11f32-fa94-4cb0-8238-0d6dc39e6c08,2024-10-03,click,0.2
