transaction_item_id,transaction_id,product_id,quantity,unit_price,total_price,discount_amount
bed3516d-a0ab-4ba9-9a91-4d3e748434a6,ffe904ad-926d-4825-ada5-ec903c51b4f5,82cd56f1-5a63-4e1c-905f-9dfb2b0633bb,22,854.87,843.75,18.42
c0468e3a-20ae-46e9-8b24-8a5d5c78a7fa,573df4ef-e19c-4676-9a0d-78eebd174633,4869ba6d-19f4-475a-a1c6-0ac18c6f6b4b,46,330.76,830.71,18.0
6b18248a-272b-4d73-b5e8-5520baa61055,c3b32931-caf7-4e61-92ac-3111d016e1d6,990faefc-5027-4c55-8a30-41fadce3533a,50,823.15,167.8,0.99
c592aef8-4f10-4a26-b4ca-56aead838e60,e2c0f0ce-3548-476d-96a1-5c10e7daf54e,e4f45c9f-2f93-4eaa-b6f5-049f174156c3,80,927.15,661.7,4.76
982aea26-c6e7-4896-b6aa-ba8fb8e6381d,07862068-823d-44fa-8aff-586d752bce34,13dcfe40-4bbc-42d6-887a-38454b6204aa,79,102.62,743.26,29.34
713dce2a-92d5-4363-bca1-8116e4b2d766,4b43963d-fcda-496b-9446-d7090236165e,3049f9f7-c9fd-432a-b44e-5787527527ce,4,224.6,215.46,24.57
eac5a50b-2f7e-483b-b33c-524f5c3d964b,57e99bc8-124a-4239-a2b3-4b3837fbb213,18e1542a-f026-4f32-b40f-1d4790f098d7,72,569.47,537.72,21.44
a6fa8023-1d40-4223-8426-f6c579942aea,d15f9c19-bbe6-4a87-89b0-b0e356046629,f4d137fc-9506-432b-be46-09d02dec41ee,71,277.58,766.3,3.48
fc01d69c-8d02-44c6-a04f-168207b112bc,360f7d6a-aadd-433c-aa31-dea41d6dbfba,868b02c6-8af1-4ed4-8992-58e7abb80d1c,80,249.38,776.3,24.58
d90ea818-c354-4e95-b0a4-94dd8754ee35,c9cf6376-db14-41e7-a92e-618606663f6f,067047c2-632c-4195-8701-35c99088dbc3,93,821.86,986.26,28.83
4209a868-e87a-48f1-b424-cd2d3cd96cc6,09092d3e-06d7-4364-82e4-c5332833ec80,b8a3ca97-75ee-4636-b9f3-90686ce505f4,15,269.69,851.4,26.44
d1659efd-51ba-4f97-ba52-f28c8aa471ef,e6bc3f29-bd93-4903-acca-e013f3803f46,7337b4c9-4913-44ad-b1b3-7c7b6bad088b,89,578.7,258.45,6.15
96c74614-b102-4a68-9107-531d8da99c84,e6df5b89-c033-44ef-9849-4b39e31d9dcd,18e1542a-f026-4f32-b40f-1d4790f098d7,81,559.14,88.6,16.39
b5e95c79-82de-4de8-9193-45b7066b89a7,1d66adc2-2143-4fc9-9a7a-773b7dfa2d2a,9e292794-2c53-4819-90c6-9fdbeb45e35d,13,5.15,41.63,2.1
1d9c85f1-a826-439d-9d54-9d143356b285,2a48fc7a-e436-4a88-bab0-37d0ffac353f,82cd56f1-5a63-4e1c-905f-9dfb2b0633bb,16,204.22,85.2,25.13
2db21992-2462-414f-88ec-ee3fd82c84e5,7fe99b80-8506-49a0-8c34-9a6bfbded4f0,b8a3ca97-75ee-4636-b9f3-90686ce505f4,90,469.76,400.92,12.65
9a21a526-ddbc-4ae6-9a6a-7ca0279f7c39,b8d74745-7b49-4989-9299-f06a6cc69951,26e425f2-9f97-4d53-a45e-01365d254ae2,72,455.17,106.73,22.82
c8babe48-bc08-425c-891d-8700ef583bdd,2d4cf881-bfea-4962-b910-c45bb82fe26e,bba47c53-5269-4fdd-8133-f074cdac9f70,62,311.36,258.67,0.26
8048e2eb-7495-4fae-b2c7-4db96525d75a,17dfa9ad-6367-4efa-b286-d19a5ed0604f,26e425f2-9f97-4d53-a45e-01365d254ae2,22,576.79,504.88,9.29
b5ee7f7c-bdb0-46b3-9a00-d700556e8c2e,ae608da4-0323-4b0c-9592-e202b4891327,ecccdfbf-be18-4813-8dc1-acbb91f8089d,73,432.15,371.76,14.98
a7f3044d-bf3e-434d-a805-82d799f5734b,cbdeea46-88fe-4e63-b856-97f124fdb0f3,71314157-ef27-4ebc-ab81-6d88c134fe63,15,510.66,406.98,23.5
d5c2fbb3-06d9-4ae8-a104-01707282b459,960d8625-7322-4d2d-b172-70fc664da605,13dcfe40-4bbc-42d6-887a-38454b6204aa,34,835.88,115.4,13.34
1e8664c6-64ef-48ba-b2ed-061f4bfd1938,efc020fb-41ab-47a6-a20c-106a86fc0e8a,c42a989f-9dbe-4145-a240-09ddb97be1d4,88,39.9,955.5,18.4
d7ee5d50-88ac-4d1f-b954-c01a6c3d0f4e,88a0875d-e052-4128-8720-716cdc217791,868b02c6-8af1-4ed4-8992-58e7abb80d1c,21,585.65,715.51,32.62
7bf10253-dd3d-48fd-9798-8ddc30569150,09ad84ac-7242-45a2-bfba-f8dab13e6dbd,352b85c7-de74-45c9-849d-20ced1c3b1de,46,537.3,430.7,34.48
81d2ed19-591c-4f31-91dc-679558c22aa2,1fff2eab-0291-41ac-b6a9-f4635927f905,cd373753-1b02-4ac2-9bb4-adc7bf9a1d4d,13,160.11,372.68,11.36
42dfea91-9a8c-4d4e-900f-57f502615699,ec6b1ca9-9ede-41d9-9d3a-2d48819dcc66,55a6afaf-0592-4406-b226-d9db1a649cd0,10,82.8,738.66,0.32
dbbce0b0-2c18-43cf-9ca5-d0ebe5da7751,39b309ba-07c2-475b-b806-4a7460c5269c,636896f3-70c3-4766-a9f5-c73aa98b50d4,98,620.4,314.9,30.93
66fdb844-c15e-4e4a-ba32-1e6296b81d57,df53537c-349f-426d-a3bf-1281a54d5b3b,a56fbabb-c93e-4c9e-b334-bfc36e25ecf6,46,589.88,60.34,20.55
0c206dc9-b173-4616-b2b1-493e3405b08c,998d3e47-ac56-4d80-8092-4846d32e689a,3e86a3a9-6054-4613-b74a-3a5a0464b78b,78,445.7,578.2,19.77
c0124c9a-3a04-4bbb-a7f0-d01dc106f0df,89b24af2-9923-4f2a-83fb-c42cdb24e15b,71314157-ef27-4ebc-ab81-6d88c134fe63,37,548.92,609.29,3.34
3b72fabf-ee94-4680-9960-c90e4a73327e,8a2a1dc3-0792-416a-80aa-1510c9617726,8853ac2b-871e-4e4f-91a3-1ef24ce49ced,100,968.38,935.5,23.29
e8e60bf8-53d5-4584-84ed-9fc96820b435,39aa6cca-5048-4185-b5da-18a9da38d2db,8853ac2b-871e-4e4f-91a3-1ef24ce49ced,99,187.56,362.6,12.3
95595f8f-8c59-45ac-ab74-7eab6a918238,4e270c0c-7d64-4713-bb27-d0285da95234,a56fbabb-c93e-4c9e-b334-bfc36e25ecf6,69,632.43,52.52,10.3
851f7af8-09cf-494f-875f-b1b502267488,72eedbb0-0432-4984-ab43-998defea3a97,09949bf1-9322-4a20-9fdb-e79582532a06,9,77.24,492.1,32.32
52229c7b-8b83-4020-b9e0-aef0935137ad,86aa38b5-9a51-47a0-b7f6-089a82d1f06d,94d6aa0d-37b5-46bd-b0de-77eb036efa9f,91,662.43,426.53,20.34
76224e21-1493-49b0-946d-006865e9240e,7b2bb265-a1ec-4579-91af-122edef35f1f,9ae83980-5a47-41fa-8232-33558f669e6a,35,945.47,850.15,22.68
e0ff8b50-cc21-49c0-b848-89e81a359d4b,86e0e8ff-2a0a-46d8-91d9-2f18615df4c1,f2725fb0-6972-4ff3-aaf6-20ce358e67bd,83,101.24,203.18,33.98
5d1778d8-0e6e-414a-b0f0-bf6c1284aead,7c00b0d0-59dd-4e8c-9edb-ddb6bbc43672,b9027759-f94e-4669-95a0-4490cfd1c150,54,686.45,228.98,15.74
fc565a81-247b-4e4d-8bbf-84e7f47880f8,eb5a28b3-d62d-4d49-b44c-b13af39fbf6b,f2725fb0-6972-4ff3-aaf6-20ce358e67bd,64,615.68,851.73,14.88
25fc325e-b529-433d-8d0c-7b167b134726,24175a9e-e469-46fc-9140-d800a49143f3,102cf4e1-bc90-4828-88ed-f3df06ae5ea5,23,258.17,564.18,7.24
99a5c3f5-f727-446b-b495-e19d7d3fccb9,02eba7c5-8f02-4da6-bc43-602f7e9ebc31,2acfe92c-6fbc-4257-8136-316b3eebcc0e,59,379.91,652.14,30.4
00c87a47-e6bc-4cbc-84f0-18d328d352d5,f8b1fa43-3ae7-41e9-8f4a-ab1624d25c62,565e9671-d583-4403-8970-e0d2325814a3,51,923.46,419.97,11.9
c63bce6b-9260-43a3-9c58-79224be31d4c,8cf895f8-92b7-4de6-b50f-7eb1c22b02a7,2e02e5e3-d4e3-4d21-b986-47adce1f2c06,20,864.4,720.2,21.23
