transaction_id,customer_id,transaction_date,total_amount,discount_amount,payment_method,channel,is_return,return_reason,store_id,tax_amount,discount_percentage,net_amount
7b3a4810-5772-46ba-aa29-5a9e076f3800,0c878d1b-93d2-4581-85a9-9fe5879f3a05,2024-05-14,673.7,43.18417000000001,Debit Card,In-Store,False,Expired,8,101.055,6.41,731.5708300000001
2324d668-ca14-4149-b787-3aadfabafbdc,e103df5f-c409-4cb5-8a3b-74dfb0993c9c,2023-11-08,898.33,270.576996,Cash,Online,True,Expired,NULL,134.7495,30.12,762.502504
bf42ad4a-bb12-480d-9dbd-3ca414d5115e,85cc10d8-8c73-40f4-911d-9c7ff9a7ddc7,2024-06-03,852.53,264.199047,Cash,Phone,False,Incorrect Item,NULL,127.8795,30.99,716.2104529999999
21029f42-16c5-4771-9bbf-5c6ae9483f3f,79829395-a2d5-4148-8d17-1cc983f1ed46,2024-03-22,621.63,185.432229,Credit Card,Online,False,Incorrect Item,NULL,93.2445,29.83,529.442271
b8101e24-7e0b-4e4e-ba2a-a5ac877fc445,af34e6bf-149c-4622-90ab-ea7c6111b543,2023-12-10,868.89,102.702798,Credit Card,Phone,False,Damaged,NULL,130.3335,11.82,896.5207019999999
7396bffc-24f0-4d89-bb79-b3713ba3ec32,155ec114-d131-405c-9a4e-d5fc81420b36,2023-11-18,969.3,235.44297,Debit Card,Online,False,Incorrect Item,NULL,145.39499999999998,24.29,879.2520299999999
9dad1574-65d4-4222-9d1a-5d0492b57bbd,26aa4f96-aebb-4635-8c57-6dfb800436db,2023-12-20,918.88,96.206736,Debit Card,Online,False,Incorrect Item,NULL,137.832,10.47,960.505264
ed765b70-6c98-4616-b4a3-fcbfd1f89e71,eb4de202-16f6-4544-bc2b-4517281cc245,2024-06-28,810.29,130.86183499999999,Credit Card,In-Store,False,Damaged,7,121.5435,16.15,800.971665
f7ab7fca-b998-4206-a12d-b47ec9aeae8c,ef9862fe-d52a-454a-ae50-41f390246598,2023-10-14,283.7,81.30842,Cash,In-Store,True,Incorrect Item,2,42.555,28.66,244.94657999999998
c1abcadf-eba2-4ae4-9871-a8ca4b18d142,990c6d17-d0f1-4027-b042-3aa702bbf76d,2023-11-24,110.6,11.69042,Debit Card,In-Store,True,Incorrect Item,3,16.59,10.57,115.49958
5452148b-12df-4502-ade4-e0777ae4714a,fcc3cfd0-9ca8-43b9-9c17-e586a8718091,2024-09-25,104.33,8.961947,Cash,Phone,False,Incorrect Item,NULL,15.6495,8.59,111.017553
39be35a1-c4b8-4199-bb79-7be9461c7489,412d4511-64b2-4415-b0d5-94c1fbc789b7,2024-09-26,975.4,71.69189999999999,Debit Card,Phone,False,Incorrect Item,NULL,146.31,7.35,1050.0181
52711de7-174e-4390-a1b4-081983f1cea4,d6a63188-46e9-4d94-8f0c-d139b1627ceb,2024-04-21,393.25,59.420075,Credit Card,Online,False,Expired,NULL,58.9875,15.11,392.817425
e176bfed-2150-40ec-aa6d-ed5530a824be,682848af-2598-4279-b26e-501bc6785b24,2024-08-06,137.68,17.567968,Debit Card,Phone,False,Damaged,NULL,20.652,12.76,140.764032
5df93a6b-05ba-47ef-b9ce-04271f17105b,45409693-6a98-4729-aa6f-205eb24ae4e4,2023-12-18,225.56,60.607972,Cash,In-Store,False,Incorrect Item,8,33.833999999999996,26.87,198.78602800000002
ea3d9634-d045-4809-917e-5e60e3575803,bdf35664-fa23-48c0-a470-c290e7a28327,2024-03-29,77.18,25.662350000000004,Credit Card,Phone,False,Damaged,NULL,11.577,33.25,63.09465
82e6ab3a-f380-4a75-a7f2-7229c5651928,f3058b40-93be-459e-8983-1a9f98dea577,2024-01-02,105.54,3.4300500000000005,Debit Card,Phone,False,Incorrect Item,NULL,15.831,3.25,117.94095000000002
615daa75-96f5-42d9-acbf-3846380431f5,5bbf2710-7678-4859-9849-8f52f50ead00,2023-10-22,181.26,53.29044,Credit Card,Online,False,Damaged,NULL,27.188999999999997,29.4,155.15856
31bab8b3-1cf0-46e3-b6f3-591f8f1af251,96c29f3c-a01a-4fc6-9133-28c4b25b18c8,2023-10-31,24.11,1.90469,Debit Card,Phone,False,Damaged,NULL,3.6165,7.9,25.82181
d71e1330-4d25-4b26-8aac-463cce0e3bd1,ebb54c93-a6b6-4c92-b62f-276c8df9b282,2024-06-30,936.4,105.06408,Credit Card,Phone,False,Damaged,NULL,140.45999999999998,11.22,971.79592
2b11a013-2b28-484f-8c1b-cb9a37b22cc7,1f3a6f6b-e561-474e-b048-b88aa7e04732,2023-12-18,496.81,90.36973900000001,Credit Card,Phone,False,Expired,NULL,74.5215,18.19,480.96176099999997
4e988dc5-29fe-4fb7-88e7-87df039f9f4e,58249e1f-864d-451c-83e5-bf8e984282db,2024-01-09,873.43,221.85121999999998,Credit Card,In-Store,False,Incorrect Item,6,131.0145,25.4,782.5932799999999
