price_id,product_id,start_date,end_date,price,promotion_id
c4bd6f40-b3db-4d1f-b708-bfc345907212,71314157-ef27-4ebc-ab81-6d88c134fe63,2024-10-09,2024-11-04,21,063f9000-e643-40b4-8d6e-e9ba9e47843b
8d9da378-37bb-4a4e-bacf-cfd63ec93dd0,eb841989-9277-4f0c-a2ce-24753c2ecbe9,2024-09-19,2024-10-15,84,9443852c-607f-4f6d-9bf9-7ff2f825b193
357b41c2-37fc-4301-b296-ee45e516254a,565e9671-d583-4403-8970-e0d2325814a3,2024-10-01,2024-10-11,68,a11ac3b3-b90d-4fff-8b29-cb337be0c548
4082951d-6bd8-4bbc-b19f-f91db699e36a,e1c8da89-fc49-45b6-8de9-801206d0659b,2024-09-17,2024-11-05,31,310c0a75-804d-4ef5-988d-e80734ada1bf
1a50b986-edc4-4305-8e7b-4310115ae93b,1ba1e52d-45f7-429c-89b5-4410aa63437d,2024-09-14,2024-10-14,25,8029806a-3a80-42a5-a3e3-ae62b50e571d
1706a7c9-8ef2-430a-a35e-441c4a689801,bc2a3d3e-09bb-4ee1-a1c9-6bf255cac50f,2024-09-27,2024-10-22,27,063f9000-e643-40b4-8d6e-e9ba9e47843b
6cbdf950-0c06-4a95-9386-d1046c68814b,09949bf1-9322-4a20-9fdb-e79582532a06,2024-09-16,2024-11-04,52,1711afe5-0a58-4834-9d44-d9bb4ff67b35
fa193535-8081-46e6-9ea5-7505e4272fe3,789bc053-499c-41fe-97ca-c6280f6fa07c,2024-09-17,2024-10-18,66,006431ff-c49d-4f8f-b3a4-2d3e378a11b2
a76dd091-a804-4822-a751-fab0227b74ec,565e9671-d583-4403-8970-e0d2325814a3,2024-09-19,2024-11-06,24,bb96bce3-2c34-4f48-9022-eb933c0e2a97
182daa71-f16f-4308-80c0-21b64a7c821f,fad7e407-3d0f-430c-bbe7-2147f85da2b6,2024-09-24,2024-10-14,88,0aa93270-3751-45bc-8ea5-cbb2bc9622e9
bda48b8a-8caa-44c3-b695-43def74be952,5798b886-da0f-4f01-85f0-fc56de3318f7,2024-09-10,2024-10-13,22,914dd568-0f91-4f3a-b6c7-ad683767ee0a
a9a29a3f-0d7d-4fa6-ac1d-d6df15dc24d2,bde06523-b6c3-41b7-ae5a-a397e56c2dbc,2024-09-21,2024-10-14,63,0f591683-d1c2-4ac7-8d6c-3141a4a3beff
880b3d53-7903-4547-b41f-039d3b29999a,ae4f401d-0ff0-46e5-94db-ee4a49caa66e,2024-09-29,2024-10-21,91,248ebbb1-660a-43b3-8866-98c285c3eb03
5e08e5aa-e111-4093-841d-4ca2cf7166de,e453ef81-5aab-490c-9040-6188b3bb06a8,2024-09-11,2024-11-02,0,0412afe2-3864-4df0-9976-d97bac702e14
65911d57-4562-4a00-9b0e-0085ca3560d9,bf82f707-c833-4c25-b011-5236d2215042,2024-09-29,2024-10-14,36,3ed3cb5e-3464-4d72-a866-652d6363102e
83da4901-f29a-4bb3-92d3-49a51413942b,9cd68b26-cd56-44a8-939a-0ecf88b60ee4,2024-09-25,2024-10-19,51,dd01cc99-fd3c-4643-afcd-8f5666bf7744
81423a05-f127-40b2-a8a3-bab414ab15cc,0cb39bf3-83be-47ca-8003-fb6c043dae1d,2024-10-03,2024-10-15,76,0412afe2-3864-4df0-9976-d97bac702e14
85ef2586-46bc-48be-9883-16ce0c46408d,180b196e-3ae2-4669-9147-6b8f02042b9c,2024-09-12,2024-10-15,62,12421b23-1737-44f2-8a9a-0a4b4476645f
3e768562-e182-44d8-af02-2926d51696e5,9ae83980-5a47-41fa-8232-33558f669e6a,2024-09-14,2024-10-16,60,248ebbb1-660a-43b3-8866-98c285c3eb03
77a839c8-a078-4b72-8b45-599972667bcb,c346776d-9770-48b1-b29b-532f34d74062,2024-09-24,2024-11-08,20,da97ddd7-7c51-47ad-8280-f83fa1475b26
