product_id,product_name,category,subcategory,brand,supplier_id,unit_cost,unit_price,current_stock,reorder_level,is_active
7fcf8c60-477f-4ff2-b4fe-aab66c6b7998,democratic,center,magazine,discover,efa0073d-3b6a-4f5f-85f8-ba392e3e39dc,350.5,417.88,7843,2439,False
37e3fe64-3bbb-470a-b178-2c4b5d80bc3b,add,various,some,someone,e7201460-5124-465b-8fa6-b862c5754f14,729.2,27.85,1390,6298,False
09737041-68c2-4ed5-a40c-03184cbabd3e,argue,she,deep,indeed,067c4407-f8fa-4bff-a153-112a793632bc,384.19,825.31,9470,4195,False
20c49cfc-ac0c-4ef0-aefe-ad07ab77f1e8,different,station,serious,live,5a9440ed-e514-4e83-a6e2-8bde6bd8e83a,30.19,617.17,252,6689,True
14807c5d-e2a5-4d01-adf2-3a5074cff780,simple,sense,short,prevent,5e94388f-63c7-4154-bda5-851703518200,661.1,630.89,8649,3835,False
6417f0b1-02fe-40f0-9a2b-680c56e9e3f6,phone,growth,health,such,5287b83f-216b-4b97-b048-418ffc8b9fb7,151.83,66.64,1099,7273,True
2acfe92c-6fbc-4257-8136-316b3eebcc0e,heart,know,despite,including,e2898d3e-9c4e-474a-a3fb-ab7e5079e819,980.62,442.95,4158,2728,False
180b196e-3ae2-4669-9147-6b8f02042b9c,close,born,picture,force,a2c7fa33-459c-4266-a22e-a4893426bc0f,783.32,120.49,4213,4376,True
239f2546-8246-4ad2-980a-c1e682fe2bc3,rich,exist,free,car,31a1e03d-1aaa-42dd-8dae-bab4d02203ca,498.51,946.17,9473,7516,False
1f0b4016-2ac1-435c-9ddf-bfddf6181de5,rich,question,case,today,a5f7f1ba-7487-46e1-909f-8d20a7c41388,259.92,756.5,1272,6786,False
2e02e5e3-d4e3-4d21-b986-47adce1f2c06,notice,notice,hope,idea,dfc71d24-0bfa-49f2-a076-2f87d75efc3b,838.45,625.7,3200,1121,True
0033b3e5-bc33-4682-a90f-a10d9028affb,option,goal,pressure,often,ce3bc556-c1d3-4865-ac46-abe97ba167db,481.27,695.32,5106,8322,True
5798b886-da0f-4f01-85f0-fc56de3318f7,kind,receive,officer,inside,434b68bb-853a-466a-bc35-a3217f9b2d46,817.41,263.63,6667,5998,False
8853ac2b-871e-4e4f-91a3-1ef24ce49ced,again,however,culture,other,21b35567-6bfc-4ca5-8af6-eb4b22cc14b0,655.16,407.56,9881,8333,True
868b02c6-8af1-4ed4-8992-58e7abb80d1c,nature,laugh,method,compare,a796103b-cd05-48a7-bd3a-d22e575bda2d,894.47,805.14,9622,9485,False
3856e9e3-dd96-4031-9168-3645e281a8c7,concern,over,listen,author,0b2884ac-33a4-4d1f-909d-85fd96e7851a,917.46,316.71,8687,5983,False
26e425f2-9f97-4d53-a45e-01365d254ae2,difference,president,ever,dog,efc6eb5b-8c63-4b87-8458-dbfb7476d7e8,817.33,649.36,488,3795,True
11d6396c-0bf6-4623-9240-79a12862feae,in,nature,industry,mother,22d8dc04-6208-4ddd-a831-068c160b7d20,285.75,169.14,6191,154,True
41a54f61-9c97-49fc-a35b-e76a9780a45d,blue,budget,series,note,5d181dbc-defa-47e6-a95b-14a325793484,867.63,922.86,2267,3797,True
09949bf1-9322-4a20-9fdb-e79582532a06,maybe,character,company,sea,b64b7f30-1da4-412f-8d0a-e94082e9f1b9,700.97,670.6,1085,1696,True
b437d04b-e735-43dd-ad4e-d434ac8269e7,open,prove,sure,national,0b533423-27f9-4a58-bdaa-48d93da86da7,62.73,810.64,289,1463,True
601aab73-247d-42c5-a8d4-e4bfbd026b87,above,far,push,edge,7cf3e9ba-60dd-45a8-9bbd-4756e2ed402b,745.8,378.85,1877,6425,True
c96f92ea-58a3-41da-9a68-9ae857d74f6e,form,law,mean,story,f0e23a8c-0f1f-4540-8a4b-d9636ba1804f,141.87,835.71,4594,5717,True
07065a39-b9f2-4a5e-942f-df749a04491b,room,yard,soon,you,ec81df09-fa67-40ce-aec9-cbb1fa14fcff,969.0,566.13,5730,1296,False
72d7671d-0f3b-4b44-b0a6-9facb2baf3a6,contain,itself,detail,speak,2c997983-e9e0-4b7a-b76e-cf05a0466e82,237.4,43.34,5448,7705,True
789bc053-499c-41fe-97ca-c6280f6fa07c,plan,ahead,person,body,55cc3806-b6fe-4097-ac3d-8c6d89fb4b5b,974.19,910.97,487,2001,True
fe3b42f1-abea-4dc7-a479-7dc999b509a6,character,design,sea,air,0812796e-0036-4994-a961-cf5c6cdec8e7,269.69,223.64,6065,8989,False
eb841989-9277-4f0c-a2ce-24753c2ecbe9,follow,go,speech,ask,0b6acb3c-1ea7-4a78-b434-74189828ce73,569.51,400.48,8346,1763,False
82cd56f1-5a63-4e1c-905f-9dfb2b0633bb,support,institution,best,page,c40e7475-44e0-4d61-baa9-511cdd1dfcd7,798.36,361.83,2156,5252,True
bba47c53-5269-4fdd-8133-f074cdac9f70,late,hair,would,fine,9a3bf27f-5f3a-4965-b24f-71818d3012e9,601.85,467.79,7442,797,True
01a1d726-fefd-4c70-94a4-b2580d1dfa67,institution,even,then,some,41ad972e-43d6-4eab-9dd6-f8e28423e026,177.11,644.85,721,3259,True
ecccdfbf-be18-4813-8dc1-acbb91f8089d,interest,meeting,event,adult,962c7167-5bb8-4e4a-8a49-b86a798927a0,362.8,804.65,8987,7909,True
bfccbd15-6b49-46e7-b43c-771b6820f091,lose,medical,economy,space,d44fe2a3-abda-4003-9b10-6695df413584,787.76,74.23,1829,5812,False
e39c4998-8e90-42fb-939d-71868556d262,investment,their,plan,oil,f1d5be2f-a1db-4928-b40b-adc640518585,30.1,786.72,8023,280,True
07365153-fe7d-4d12-a19a-928592bf8df8,relationship,base,skin,cell,30ceea5b-83bb-4dcd-a33f-982e5b33558f,160.33,619.37,3234,9929,True
c42a989f-9dbe-4145-a240-09ddb97be1d4,can,enter,identify,later,3545ab6e-a066-4deb-9eca-f3d5380600eb,801.78,514.83,9670,434,True
e4f45c9f-2f93-4eaa-b6f5-049f174156c3,network,involve,agreement,movement,d467ad1d-dc93-412f-b710-820f54789abb,405.74,436.6,4923,77,True
0cb39bf3-83be-47ca-8003-fb6c043dae1d,public,court,team,system,2d24234f-f14f-4e19-8c36-6d137445811a,126.6,734.49,7778,6026,True
636896f3-70c3-4766-a9f5-c73aa98b50d4,serious,himself,food,member,f57648ef-da66-430a-aaad-11bbf0cce5d2,193.4,46.46,4493,6989,True
e453c30f-0155-4764-bd9b-2c19462e2838,special,security,course,series,4ea3eac0-83c3-41ae-a6d2-5a9d2942cf0c,390.13,581.9,5078,642,True
9cd68b26-cd56-44a8-939a-0ecf88b60ee4,seven,crime,theory,woman,b15a4cf7-cfac-417b-ae8c-bb2e9da4499b,291.88,963.39,735,1632,False
990faefc-5027-4c55-8a30-41fadce3533a,democratic,method,hard,future,1bf48197-0e8e-45ef-8d8b-d1c9c02bee00,843.21,507.78,5545,4170,False
